iteration,susceptible,exposed,infectious,recovered,total_moves,total_exposures,total_infectious,avg_susceptible_count,avg_exposed_count,avg_infection_count,avg_move_count,dim
0,757,98,169,0,0,0,0,0.00,0.00,0.00,0.00,1.55
5,756,101,167,0,30,0,10,0.00,0.01,0.00,0.01,1.54
10,756,102,166,0,110,0,39,0.00,0.02,0.00,0.02,1.54
15,754,103,166,1,240,2,82,0.00,0.04,0.01,0.03,1.54
20,752,104,167,1,420,7,143,0.00,0.04,0.01,0.04,1.54
25,749,107,167,1,650,9,228,0.00,0.06,0.00,0.05,1.54
30,747,110,166,1,930,9,340,0.00,0.07,0.00,0.06,1.54
35,745,113,165,1,1260,9,479,0.00,0.10,0.00,0.07,1.54
40,743,115,164,2,1638,16,655,0.00,0.10,0.02,0.08,1.53
45,743,115,164,2,2063,31,853,0.00,0.14,0.02,0.09,1.53
50,741,117,163,3,2533,58,1075,0.00,0.15,0.03,0.10,1.53
55,737,117,166,4,3053,92,1321,0.00,0.16,0.04,0.11,1.54
60,735,120,165,4,3625,132,1575,0.00,0.17,0.04,0.12,1.53
65,731,125,164,4,4255,172,1875,0.00,0.19,0.04,0.13,1.53
70,729,128,163,4,4937,212,2233,0.00,0.21,0.04,0.14,1.53
75,728,130,162,4,5668,252,2621,0.00,0.22,0.04,0.15,1.53
80,728,132,160,4,6442,292,3056,0.00,0.25,0.04,0.16,1.52
85,724,135,161,4,7266,332,3547,0.00,0.27,0.04,0.17,1.53
90,721,136,162,5,8136,378,4076,0.00,0.27,0.05,0.18,1.53
95,716,141,162,5,9056,428,4638,0.00,0.28,0.05,0.18,1.53
100,714,142,163,5,10024,478,5248,0.00,0.30,0.05,0.19,1.53
105,712,142,164,6,11042,536,5882,0.00,0.30,0.06,0.21,1.53
110,711,143,164,6,12116,606,6531,0.00,0.32,0.06,0.22,1.53
115,708,145,165,6,13242,676,7226,0.00,0.33,0.06,0.22,1.53
120,707,148,163,6,14413,746,7975,0.00,0.36,0.06,0.23,1.53
125,708,149,161,6,15620,813,8766,0.00,0.34,0.06,0.24,1.52
130,705,150,162,7,16877,884,9577,0.00,0.36,0.06,0.25,1.52
135,702,151,163,8,18192,959,10427,0.00,0.36,0.07,0.26,1.53
140,700,152,164,8,19546,1039,11322,0.00,0.38,0.07,0.27,1.53
145,697,153,165,9,20951,1119,12253,0.00,0.39,0.08,0.28,1.53
150,695,156,164,9,22402,1219,13200,0.00,0.38,0.08,0.29,1.53
155,694,157,164,9,23910,1321,14170,0.00,0.39,0.09,0.30,1.53
160,690,160,165,9,25465,1421,15169,0.00,0.43,0.08,0.31,1.53
165,686,164,165,9,27070,1521,16257,0.00,0.45,0.08,0.32,1.53
170,685,164,166,9,28723,1621,17380,0.00,0.46,0.08,0.33,1.53
175,684,166,166,8,30425,1721,18534,0.00,0.47,0.08,0.34,1.53
180,683,167,166,8,32174,1821,19728,0.00,0.49,0.08,0.35,1.53
185,679,169,168,8,33978,1919,20967,0.00,0.51,0.08,0.36,1.53
190,677,171,167,9,35835,2020,22269,0.00,0.51,0.09,0.37,1.53
195,677,173,165,9,37754,2130,23591,0.00,0.51,0.09,0.38,1.53
200,676,173,165,10,39723,2240,24928,0.00,0.50,0.09,0.39,1.53
205,675,173,164,12,41741,2376,26283,0.00,0.49,0.13,0.40,1.52
210,673,175,164,12,43814,2526,27650,0.00,0.50,0.13,0.41,1.52
215,670,177,165,12,45950,2677,29040,0.00,0.51,0.13,0.42,1.53
220,667,181,164,12,48150,2832,30480,0.00,0.52,0.13,0.44,1.52
225,664,184,164,12,50410,2987,31960,0.00,0.55,0.13,0.45,1.52
230,663,186,163,12,52719,3142,33497,0.00,0.56,0.13,0.46,1.52
235,661,189,162,12,55085,3297,35069,0.00,0.57,0.14,0.47,1.52
240,659,192,161,12,57505,3452,36652,0.00,0.58,0.14,0.48,1.52
245,659,193,161,11,59985,3607,38294,0.00,0.60,0.14,0.49,1.52
250,657,195,161,11,62501,3762,39981,0.00,0.62,0.14,0.50,1.52
255,656,196,160,12,65064,3917,41704,0.00,0.62,0.14,0.51,1.52
260,654,199,158,13,67669,4089,43442,0.00,0.63,0.16,0.51,1.51
265,652,202,156,14,70315,4267,45212,0.00,0.62,0.17,0.52,1.51
270,651,204,155,14,73000,4457,47026,0.00,0.63,0.17,0.53,1.51
275,647,206,155,16,75741,4656,48848,0.00,0.64,0.17,0.54,1.51
280,646,207,155,16,78533,4856,50694,0.00,0.64,0.17,0.55,1.51
285,644,209,155,16,81365,5056,52566,0.00,0.64,0.17,0.56,1.51
290,641,211,154,18,84247,5276,54483,0.00,0.65,0.19,0.57,1.50
295,639,212,154,19,87180,5524,56419,0.00,0.67,0.20,0.58,1.50
300,636,213,155,20,90163,5792,58391,0.00,0.67,0.21,0.59,1.50
305,633,217,153,21,93197,6086,60387,0.00,0.67,0.22,0.60,1.50
310,630,218,153,23,96278,6381,62421,0.00,0.67,0.22,0.61,1.50
315,627,221,153,23,99402,6676,64488,0.00,0.69,0.22,0.62,1.50
320,624,224,152,24,102572,6995,66588,0.00,0.69,0.24,0.62,1.50
325,621,225,153,25,105791,7326,68743,0.00,0.70,0.24,0.63,1.50
330,620,225,154,25,109045,7670,70920,0.00,0.71,0.25,0.64,1.50
335,617,228,154,25,112347,8013,73128,0.00,0.71,0.24,0.65,1.50
340,615,230,154,25,115707,8353,75383,0.00,0.72,0.24,0.66,1.50
345,616,228,154,26,119108,8693,77644,0.00,0.73,0.24,0.67,1.50
350,615,231,152,26,122544,9033,79941,0.00,0.74,0.24,0.68,1.50
355,614,232,152,26,126023,9376,82248,0.00,0.74,0.25,0.68,1.50
360,612,235,151,26,129540,9719,84577,0.00,0.76,0.25,0.69,1.50
365,608,239,151,26,133102,10054,86960,0.00,0.78,0.25,0.70,1.50
370,608,240,150,26,136715,10389,89391,0.00,0.79,0.25,0.71,1.49
375,604,244,149,27,140379,10728,91858,0.00,0.79,0.26,0.73,1.49
380,604,244,150,26,144109,11068,94330,0.00,0.79,0.25,0.73,1.49
385,602,246,151,25,147887,11403,96825,0.00,0.78,0.25,0.75,1.50
390,602,249,148,25,151720,11738,99332,0.00,0.79,0.26,0.75,1.49
395,601,251,147,25,155603,12073,101851,0.00,0.80,0.26,0.77,1.49
400,599,253,147,25,159555,12408,104409,0.00,0.81,0.26,0.78,1.49
405,599,252,148,25,163556,12763,106995,0.00,0.82,0.27,0.79,1.49
410,595,253,150,26,167614,13127,109623,0.00,0.82,0.29,0.80,1.50
415,592,256,150,26,171742,13513,112271,0.00,0.83,0.29,0.81,1.50
420,590,258,150,26,175908,13908,114975,0.00,0.86,0.29,0.82,1.50
425,587,260,150,27,180129,14303,117731,0.00,0.88,0.29,0.83,1.50
430,583,264,150,27,184416,14699,120536,0.00,0.90,0.30,0.84,1.50
435,581,266,149,28,188770,15099,123387,0.00,0.91,0.30,0.86,1.49
440,578,269,149,28,193197,15499,126279,0.00,0.90,0.30,0.87,1.50
445,575,269,152,28,197692,15899,129196,0.00,0.89,0.30,0.89,1.50
450,571,272,153,28,202248,16307,132148,0.00,0.91,0.31,0.90,1.50
455,570,272,154,28,206843,16726,135170,0.00,0.93,0.31,0.90,1.51
460,567,275,154,28,211484,17146,138251,0.00,0.93,0.31,0.92,1.51
465,564,276,154,30,216178,17576,141386,0.00,0.93,0.32,0.92,1.51
470,563,276,155,30,220913,18034,144557,0.00,0.94,0.32,0.93,1.51
475,562,277,155,30,225723,18494,147766,0.00,0.95,0.32,0.95,1.51
480,561,278,155,30,230597,18954,151009,0.00,0.96,0.32,0.96,1.51
485,558,280,155,31,235504,19412,154288,0.00,0.97,0.33,0.96,1.51
490,557,280,156,31,240449,19873,157626,0.00,0.99,0.33,0.97,1.51
495,557,281,155,31,245444,20338,161023,0.00,1.00,0.34,0.98,1.51
500,555,281,157,31,250484,20805,164462,0.00,1.01,0.34,0.99,1.52
505,552,282,157,33,255548,21297,167949,0.00,1.01,0.36,0.99,1.52
510,550,284,157,33,260651,21814,171445,0.00,1.00,0.36,1.00,1.52
515,548,286,157,33,265799,22334,174954,0.00,1.02,0.36,1.01,1.52
520,548,286,157,33,271003,22854,178540,0.00,1.02,0.36,1.02,1.52
525,546,287,157,34,276259,23374,182150,0.00,1.04,0.36,1.03,1.52
530,543,289,158,34,281566,23904,185811,0.00,1.03,0.36,1.04,1.52
535,544,290,156,34,286933,24432,189468,0.00,1.04,0.36,1.05,1.52
540,542,291,157,34,292343,24957,193146,0.00,1.04,0.36,1.06,1.52
545,539,293,157,35,297813,25478,196833,0.00,1.04,0.36,1.08,1.52
550,538,295,156,35,303350,26003,200527,0.00,1.03,0.36,1.09,1.52
555,534,296,159,35,308950,26531,204250,0.00,1.03,0.36,1.10,1.53
560,535,295,159,35,314581,27061,207993,0.00,1.03,0.36,1.11,1.53
565,533,297,159,35,320261,27587,211742,0.00,1.03,0.36,1.12,1.53
570,529,299,160,36,326000,28120,215535,0.00,1.04,0.36,1.12,1.53
575,530,299,159,36,331784,28658,219384,0.00,1.05,0.37,1.13,1.52
580,527,300,159,38,337597,29201,223255,0.00,1.06,0.38,1.14,1.52
585,525,301,159,39,343455,29768,227158,0.00,1.06,0.39,1.15,1.52
590,523,304,158,39,349344,30343,231107,0.00,1.08,0.39,1.15,1.52
595,519,305,161,39,355270,30918,235117,0.00,1.09,0.39,1.16,1.53
600,516,308,161,39,361248,31493,239193,0.00,1.09,0.39,1.17,1.53
605,514,311,161,38,367260,32067,243335,0.00,1.11,0.39,1.18,1.53
610,513,312,161,38,373326,32632,247503,0.00,1.11,0.38,1.19,1.53
615,509,316,160,39,379429,33198,251721,0.00,1.11,0.38,1.20,1.53
620,507,318,160,39,385566,33768,255980,0.00,1.13,0.38,1.20,1.53
625,506,317,162,39,391745,34335,260283,0.00,1.13,0.38,1.21,1.53
630,506,316,163,39,397972,34905,264611,0.00,1.15,0.37,1.22,1.53
635,507,317,160,40,404214,35477,268965,0.00,1.15,0.38,1.22,1.53
640,505,318,160,41,410496,36047,273313,0.00,1.14,0.38,1.24,1.53
645,503,320,160,41,416831,36625,277692,0.00,1.15,0.39,1.24,1.53
650,502,322,159,41,423215,37206,282087,0.00,1.16,0.38,1.25,1.52
655,499,324,160,41,429645,37786,286508,0.00,1.15,0.38,1.26,1.53
660,497,328,158,41,436125,38366,290953,0.00,1.16,0.39,1.27,1.52
665,498,328,157,41,442660,38946,295392,0.00,1.15,0.39,1.28,1.52
670,494,331,157,42,449257,39530,299828,0.00,1.16,0.39,1.30,1.52
675,493,332,157,42,455949,40131,304319,0.00,1.15,0.39,1.32,1.52
680,492,333,157,42,462680,40736,308818,0.00,1.15,0.39,1.32,1.52
685,489,336,157,42,469439,41344,313343,0.00,1.14,0.39,1.32,1.52
690,486,339,157,42,476240,41954,317898,0.00,1.15,0.39,1.33,1.52
695,487,337,158,42,483094,42564,322502,0.00,1.15,0.39,1.34,1.52
700,484,339,159,42,490005,43174,327137,0.00,1.14,0.39,1.36,1.52
